Grid_Sco00re			Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol0001	mol1	1	13.129826	-32.803589	45.933414	7.800107
2hoj_LIGfilip-balloon_mol0002	mol2	1	-16.736343	-22.815844	6.079501	7.666150
2hoj_LIGfilip-balloon_mol0003	mol3	1	-35.646160	-32.003605	-3.642554	5.042083
2hoj_LIGfilip-balloon_mol0004	mol4	1	-73.600777	-43.607567	-29.993208	7.238338
2hoj_LIGfilip-balloon_mol0005	mol5	1	-39.145828	-47.989109	8.843281	4.016538
2hoj_LIGfilip-balloon_mol0006	mol6	1	-5.565868	-34.211246	28.645378	7.920684
2hoj_LIGfilip-balloon_mol0007	mol7	0	1.542580	-40.825687	42.368267	6.201224
2hoj_LIGfilip-balloon_mol0008	mol8	0	-3.467175	-42.804386	39.337212	7.557636
2hoj_LIGfilip-balloon_mol0009	mol9	0	-22.941225	-39.018333	16.077108	3.715740
2hoj_LIGfilip-balloon_mol0010	mol10	0	1.288948	-40.959526	42.248474	12.133056
2hoj_LIGfilip-balloon_mol0011	mol11	0	-2.327705	-43.631771	41.304066	8.018926
2hoj_LIGfilip-balloon_mol0012	mol12	0	-29.339083	-49.916073	20.576990	5.864651
2hoj_LIGfilip-balloon_mol0013	mol13	0	-28.016840	-46.615536	18.598696	6.019784
2hoj_LIGfilip-balloon_mol0014	mol14	0	-26.827326	-45.272633	18.445307	9.218393
2hoj_LIGfilip-balloon_mol0015	mol15	0	-62.852791	-40.933613	-21.919176	10.137904
2hoj_LIGfilip-balloon_mol0016	mol16	0	-27.229689	-43.609482	16.379793	12.254445
2hoj_LIGfilip-balloon_mol0017	mol17	0	-61.629978	-38.218849	-23.411129	6.088279
2hoj_LIGfilip-balloon_mol0018	mol18	0	-31.578953	-35.893894	4.314942	4.761374
2hoj_LIGfilip-balloon_mol0019	mol19	0	1.551376	-42.384773	43.936150	6.334459
2hoj_LIGfilip-balloon_mol0020	mol20	0	-2.263191	-44.405609	42.142418	5.397007
2hoj_LIGfilip-balloon_mol0021	mol21	0	-57.481491	-43.003307	-14.478184	11.598660
2hoj_LIGfilip-balloon_mol0022	mol22	0	-26.855797	-45.729504	18.873707	13.268134
2hoj_LIGfilip-balloon_mol0023	mol23	0	-24.880131	-45.408001	20.527870	5.808087
2hoj_LIGfilip-balloon_mol0024	mol24	0	-44.420868	-43.355652	-1.065214	8.813435
2hoj_LIGfilip-balloon_mol0025	mol25	0	-59.819557	-43.208839	-16.610720	7.935467
2hoj_LIGfilip-balloon_mol0026	mol26	0	-23.676579	-43.503731	19.827152	9.362864
