Grid_Sco00re			Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol0001	mol1	1	16.538258	-21.637772	38.176029	38.176029
2hoj_LIGfilip-balloon_mol0002	mol2	1	-9.234512	-21.448442	12.213930	12.213930
2hoj_LIGfilip-balloon_mol0003	mol3	1	-21.065392	-23.170061	2.104670	2.104670
2hoj_LIGfilip-balloon_mol0004	mol4	1	-67.023712	-34.365574	-32.658142	-32.658142
2hoj_LIGfilip-balloon_mol0005	mol5	1	-26.317316	-34.915112	8.597795	8.597795
2hoj_LIGfilip-balloon_mol0006	mol6	1	1.852665	-23.885668	25.738333	25.738333
2hoj_LIGfilip-balloon_mol0007	mol7	0	7.319805	-25.276985	32.596790	32.596790
2hoj_LIGfilip-balloon_mol0008	mol8	0	4.137875	-36.575260	40.713135	40.713135
2hoj_LIGfilip-balloon_mol0009	mol9	0	-17.805614	-39.979916	22.174301	22.174301
2hoj_LIGfilip-balloon_mol0010	mol10	0	6.838303	-37.485912	44.324215	44.324215
2hoj_LIGfilip-balloon_mol0011	mol11	0	3.196079	-41.871445	45.067524	45.067524
2hoj_LIGfilip-balloon_mol0012	mol12	0	-19.122868	-41.986095	22.863228	22.863228
2hoj_LIGfilip-balloon_mol0013	mol13	0	-19.294910	-38.166977	18.872066	18.872066
2hoj_LIGfilip-balloon_mol0014	mol14	0	-20.239576	-38.199261	17.959684	17.959684
2hoj_LIGfilip-balloon_mol0015	mol15	0	-48.573246	-37.772697	-10.800550	-10.800550
2hoj_LIGfilip-balloon_mol0016	mol16	0	-20.463024	-41.119312	20.656288	20.656288
2hoj_LIGfilip-balloon_mol0017	mol17	0	-51.512894	-33.885845	-17.627047	-17.627047
2hoj_LIGfilip-balloon_mol0018	mol18	0	-22.585339	-38.536987	15.951650	15.951650
2hoj_LIGfilip-balloon_mol0019	mol19	0	9.007301	-36.952393	45.959694	45.959694
2hoj_LIGfilip-balloon_mol0020	mol20	0	2.725826	-34.314415	37.040241	37.040241
2hoj_LIGfilip-balloon_mol0021	mol21	0	-49.976395	-38.566528	-11.409866	-11.409866
2hoj_LIGfilip-balloon_mol0022	mol22	0	-14.662186	-38.064106	23.401920	23.401920
2hoj_LIGfilip-balloon_mol0023	mol23	0	-13.673862	-37.098434	23.424572	23.424572
2hoj_LIGfilip-balloon_mol0024	mol24	0	-37.040276	-36.146633	-0.893642	-0.893642
2hoj_LIGfilip-balloon_mol0025	mol25	0	-51.289387	-44.273045	-7.016343	-7.016343
2hoj_LIGfilip-balloon_mol0026	mol26	0	-19.669580	-38.348652	18.679071	18.679071
2hoj_LIGfilip-balloon_mol0027	mol27	0	-17.777222	-40.074722	22.297501	22.297501
2hoj_LIGfilip-balloon_mol0028	mol28	0	5.912872	-41.213036	47.125908	47.125908
2hoj_LIGfilip-balloon_mol0029	mol29	0	8.152565	-35.226131	43.378696	43.378696
2hoj_LIGfilip-balloon_mol0030	mol30	0	-17.333107	-31.576874	14.243768	14.243768
2hoj_LIGfilip-balloon_mol0031	mol31	0	3.601673	-44.142246	47.743919	47.743919
2hoj_LIGfilip-balloon_mol0032	mol32	0	5.187653	-29.366028	34.553680	34.553680
2hoj_LIGfilip-balloon_mol0033	mol33	0	-17.412121	-38.624641	21.212521	21.212521
2hoj_LIGfilip-balloon_mol0034	mol34	0	-19.880821	-40.103374	20.222553	20.222553
2hoj_LIGfilip-balloon_mol0035	mol35	0	-24.160870	-39.439499	15.278628	15.278628
2hoj_LIGfilip-balloon_mol0036	mol36	0	5.170399	-42.308437	47.478836	47.478836
2hoj_LIGfilip-balloon_mol0037	mol37	0	-47.416359	-34.270374	-13.145987	-13.145987
2hoj_LIGfilip-balloon_mol0038	mol38	0	-24.086769	-41.171413	17.084644	17.084644
2hoj_LIGfilip-balloon_mol0039	mol39	0	-46.079559	-35.834724	-10.244833	-10.244833
2hoj_LIGfilip-balloon_mol0040	mol40	0	3.246387	-37.160633	40.407021	40.407021
2hoj_LIGfilip-balloon_mol0041	mol41	0	8.527115	-36.954025	45.481140	45.481140
2hoj_LIGfilip-balloon_mol0042	mol42	0	5.124630	-41.828644	46.953274	46.953274
2hoj_LIGfilip-balloon_mol0043	mol43	0	-20.706078	-34.927032	14.220954	14.220954
2hoj_LIGfilip-balloon_mol0044	mol44	0	-24.751064	-42.319324	17.568260	17.568260
2hoj_LIGfilip-balloon_mol0045	mol45	0	-19.040302	-37.927490	18.887188	18.887188
2hoj_LIGfilip-balloon_mol0046	mol46	0	-19.913162	-38.222912	18.309750	18.309750
2hoj_LIGfilip-balloon_mol0047	mol47	0	-22.882076	-36.440624	13.558549	13.558549
2hoj_LIGfilip-balloon_mol0048	mol48	0	-22.308620	-38.194874	15.886252	15.886252
2hoj_LIGfilip-balloon_mol0049	mol49	0	-40.952641	-38.971821	-1.980820	-1.980820
2hoj_LIGfilip-balloon_mol0050	mol50	0	-40.701443	-38.281960	-2.419483	-2.419483
2hoj_LIGfilip-balloon_mol0051	mol51	0	-13.999792	-37.735909	23.736116	23.736116
2hoj_LIGfilip-balloon_mol0052	mol52	0	-24.363716	-49.212097	24.848381	24.848381
