FLEX,,,,,,RIGID,,,,,,"Abs(FLEX – RIGID), Abs(FLEX /RIGID)",,,,,,,
ligand Name,Grid_Score,Grid_vdw,Grid_es,Int_energy,,ligand Name,Grid_Score,Grid_vdw,Grid_es,Int_energy,,Grid_Score,,Grid_vdw,,Grid_es,,Int_energy,
2hoj_LIGfilip-balloon_mol1,"13,129826","-32,803589","45,933414","7,800107",,2hoj_LIGfilip-balloon_mol1,"16,538258","-21,637772","38,176029","38,176029",,"3,408432","0,794","11,165817","1,517","7,757385","1,204","30,375922","0,205"
2hoj_LIGfilip-balloon_mol2,"-16,736343","-22,815844","6,079501","7,66615",,2hoj_LIGfilip-balloon_mol2,"-9,234512","-21,448442","12,21393","12,21393",,"7,501831","1,813","1,367402","1,064","6,134429","0,498","4,54778","0,628"
2hoj_LIGfilip-balloon_mol3,"-35,64616","-32,003605","-3,642554","5,042083",,2hoj_LIGfilip-balloon_mol3,"-21,065392","-23,170061","2,10467","2,10467",,"14,580768","1,693","8,833544","1,382","1,537884","1,731","2,937413","2,396"
2hoj_LIGfilip-balloon_mol4,"-73,600777","-43,607567","-29,993208","7,238338",,2hoj_LIGfilip-balloon_mol4,"-67,023712","-34,365574","-32,658142","-32,658142",,"6,577065","1,099","9,241993","1,269","2,664934","0,919","25,419804","0,222"
2hoj_LIGfilip-balloon_mol5,"-39,145828","-47,989109","8,843281","4,016538",,2hoj_LIGfilip-balloon_mol5,"-26,317316","-34,915112","8,597795","8,597795",,"12,828512","1,488","13,073997","1,375","0,245486","1,029","4,581257","0,468"
2hoj_LIGfilip-balloon_mol6,"-5,565868","-34,211246","28,645378","7,920684",,2hoj_LIGfilip-balloon_mol6,"1,852665","-23,885668","25,738333","25,738333",,"3,713203","3,005","10,325578","1,433","2,907045","1,113","17,817649","0,308"
2hoj_LIGfilip-balloon_mol7,"1,54258","-40,825687","42,368267","6,201224",,2hoj_LIGfilip-balloon_mol7,"7,319805","-25,276985","32,59679","32,59679",,"5,777225","0,211","15,548702","1,616","9,771477","1,3","26,395566","0,191"
2hoj_LIGfilip-balloon_mol8,"-3,467175","-42,804386","39,337212","7,557636",,2hoj_LIGfilip-balloon_mol8,"4,137875","-36,57526","40,713135","40,713135",,"0,6707","0,838","6,229126","1,171","1,375923","0,967","33,155499","0,186"
2hoj_LIGfilip-balloon_mol9,"-22,941225","-39,018333","16,077108","3,71574",,2hoj_LIGfilip-balloon_mol9,"-17,805614","-39,979916","22,174301","22,174301",,"5,135611","1,289","0,961583","0,976","6,097193","0,726","18,458561","0,168"
2hoj_LIGfilip-balloon_mol10,"1,288948","-40,959526","42,248474","12,133056",,2hoj_LIGfilip-balloon_mol10,"6,838303","-37,485912","44,324215","44,324215",,"5,549355","0,189","3,473614","1,093","2,075741","0,954","32,191159","0,274"
2hoj_LIGfilip-balloon_mol11,"-2,327705","-43,631771","41,304066","8,018926",,2hoj_LIGfilip-balloon_mol11,"3,196079","-41,871445","45,067524","45,067524",,"0,868374","0,729","1,760326","1,043","3,763458","0,917","37,048598","0,178"
2hoj_LIGfilip-balloon_mol12,"-29,339083","-49,916073","20,57699","5,864651",,2hoj_LIGfilip-balloon_mol12,"-19,122868","-41,986095","22,863228","22,863228",,"10,216215","1,535","7,929978","1,189","2,286238","0,901","16,998577","0,257"
2hoj_LIGfilip-balloon_mol13,"-28,01684","-46,615536","18,598696","6,019784",,2hoj_LIGfilip-balloon_mol13,"-19,29491","-38,166977","18,872066","18,872066",,"8,72193","1,453","8,448559","1,222","0,27337","0,986","12,852282","0,319"
2hoj_LIGfilip-balloon_mol14,"-26,827326","-45,272633","18,445307","9,218393",,2hoj_LIGfilip-balloon_mol14,"-20,239576","-38,199261","17,959684","17,959684",,"6,58775","1,326","7,073372","1,186","0,485623","1,028","8,741291","0,514"
2hoj_LIGfilip-balloon_mol15,"-62,852791","-40,933613","-21,919176","10,137904",,2hoj_LIGfilip-balloon_mol15,"-48,573246","-37,772697","-10,80055","-10,80055",,"14,279545","1,294","3,160916","1,084","11,118626","2,03","0,662646","0,939"
2hoj_LIGfilip-balloon_mol16,"-27,229689","-43,609482","16,379793","12,254445",,2hoj_LIGfilip-balloon_mol16,"-20,463024","-41,119312","20,656288","20,656288",,"6,766665","1,331","2,49017","1,061","4,276495","0,793","8,401843","0,594"
2hoj_LIGfilip-balloon_mol17,"-61,629978","-38,218849","-23,411129","6,088279",,2hoj_LIGfilip-balloon_mol17,"-51,512894","-33,885845","-17,627047","-17,627047",,"10,117084","1,197","4,333004","1,128","5,784082","1,329","11,538768","0,346"
2hoj_LIGfilip-balloon_mol18,"-31,578953","-35,893894","4,314942","4,761374",,2hoj_LIGfilip-balloon_mol18,"-22,585339","-38,536987","15,95165","15,95165",,"8,993614","1,399","2,643093","0,932","11,636708","0,271","11,190276","0,299"
2hoj_LIGfilip-balloon_mol19,"1,551376","-42,384773","43,93615","6,334459",,2hoj_LIGfilip-balloon_mol19,"9,007301","-36,952393","45,959694","45,959694",,"7,455925","0,173","5,43238","1,148","2,023544","0,956","39,625235","0,138"
2hoj_LIGfilip-balloon_mol20,"-2,263191","-44,405609","42,142418","5,397007",,2hoj_LIGfilip-balloon_mol20,"2,725826","-34,314415","37,040241","37,040241",,"0,462635","0,831","10,091194","1,295","5,102177","1,138","31,643234","0,146"
2hoj_LIGfilip-balloon_mol21,"-57,481491","-43,003307","-14,478184","11,59866",,2hoj_LIGfilip-balloon_mol21,"-49,976395","-38,566528","-11,409866","-11,409866",,"7,505096","1,151","4,436779","1,116","3,068318","1,269","0,188794","1,017"
2hoj_LIGfilip-balloon_mol22,"-26,855797","-45,729504","18,873707","13,268134",,2hoj_LIGfilip-balloon_mol22,"-14,662186","-38,064106","23,40192","23,40192",,"12,193611","1,832","7,665398","1,202","4,528213","0,807","10,133786","0,567"
2hoj_LIGfilip-balloon_mol23,"-24,880131","-45,408001","20,52787","5,808087",,2hoj_LIGfilip-balloon_mol23,"-13,673862","-37,098434","23,424572","23,424572",,"11,206269","1,82","8,309567","1,224","2,896702","0,877","17,616485","0,248"
2hoj_LIGfilip-balloon_mol24,"-44,420868","-43,355652","-1,065214","8,813435",,2hoj_LIGfilip-balloon_mol24,"-37,040276","-36,146633","-0,893642","-0,893642",,"7,380592","1,2","7,209019","1,2","0,171572","1,192","7,919793","9,863"
2hoj_LIGfilip-balloon_mol25,"-59,819557","-43,208839","-16,61072","7,935467",,2hoj_LIGfilip-balloon_mol25,"-51,289387","-44,273045","-7,016343","-7,016343",,"8,53017","1,167","1,064206","0,976","9,594377","2,368","0,919124","1,131"
2hoj_LIGfilip-balloon_mol26,"-23,676579","-43,503731","19,827152","9,362864",,2hoj_LIGfilip-balloon_mol26,"-19,66958","-38,348652","18,679071","18,679071",,"4,006999","1,204","5,155079","1,135","1,148081","1,062","9,316207","0,502"
2hoj_LIGfilip-balloon_mol27,"-20,190086","-44,268158","24,078072","6,210591",,2hoj_LIGfilip-balloon_mol27,"-17,777222","-40,074722","22,297501","22,297501",,"2,412864","1,136","4,193436","1,105","1,780571","1,08","16,08691","0,279"
2hoj_LIGfilip-balloon_mol28,"-0,480652","-40,294518","39,813866","6,164252",,2hoj_LIGfilip-balloon_mol28,"5,912872","-41,213036","47,125908","47,125908",,"5,43222","0,082","0,918518","0,978","7,312042","0,845","40,961656","0,131"
2hoj_LIGfilip-balloon_mol29,"-1,575523","-42,190208","40,614685","11,351664",,2hoj_LIGfilip-balloon_mol29,"8,152565","-35,226131","43,378696","43,378696",,"6,577042","0,194","6,964077","1,198","2,764011","0,937","32,027032","0,262"
2hoj_LIGfilip-balloon_mol30,"-22,375151","-37,07943","14,704279","3,502361",,2hoj_LIGfilip-balloon_mol30,"-17,333107","-31,576874","14,243768","14,243768",,"5,042044","1,291","5,502556","1,175","0,460511","1,033","10,741407","0,246"
2hoj_LIGfilip-balloon_mol31,"-2,017899","-44,536724","42,518826","13,700746",,2hoj_LIGfilip-balloon_mol31,"3,601673","-44,142246","47,743919","47,743919",,"1,583774","0,561","0,394478","1,009","5,225093","0,891","34,043173","0,287"
2hoj_LIGfilip-balloon_mol32,"-2,092871","-33,877934","31,785063","9,477601",,2hoj_LIGfilip-balloon_mol32,"5,187653","-29,366028","34,55368","34,55368",,"3,094782","0,404","4,511906","1,154","2,768617","0,92","25,076079","0,275"
2hoj_LIGfilip-balloon_mol33,"-22,907982","-40,109219","17,201237","4,051415",,2hoj_LIGfilip-balloon_mol33,"-17,412121","-38,624641","21,212521","21,212521",,"5,495861","1,316","1,484578","1,039","4,011284","0,811","17,161106","0,191"
2hoj_LIGfilip-balloon_mol34,"-24,615252","-42,658497","18,043245","6,398767",,2hoj_LIGfilip-balloon_mol34,"-19,880821","-40,103374","20,222553","20,222553",,"4,734431","1,239","2,555123","1,064","2,179308","0,893","13,823786","0,317"
2hoj_LIGfilip-balloon_mol35,"-24,502979","-43,034538","18,531559","5,357749",,2hoj_LIGfilip-balloon_mol35,"-24,16087","-39,439499","15,278628","15,278628",,"0,342109","1,015","3,595039","1,092","3,252931","1,213","9,920879","0,351"
2hoj_LIGfilip-balloon_mol36,"-6,189629","-49,164158","42,974529","12,595657",,2hoj_LIGfilip-balloon_mol36,"5,170399","-42,308437","47,478836","47,478836",,"1,01923","1,198","6,855721","1,163","4,504307","0,906","34,883179","0,266"
2hoj_LIGfilip-balloon_mol37,"-60,728443","-39,578243","-21,1502","7,6431",,2hoj_LIGfilip-balloon_mol37,"-47,416359","-34,270374","-13,145987","-13,145987",,"13,312084","1,281","5,307869","1,155","8,004213","1,609","5,502887","0,582"
2hoj_LIGfilip-balloon_mol38,"-26,006142","-43,146442","17,140301","11,250425",,2hoj_LIGfilip-balloon_mol38,"-24,086769","-41,171413","17,084644","17,084644",,"1,919373","1,08","1,975029","1,048","0,055657","1,004","5,834219","0,659"
2hoj_LIGfilip-balloon_mol39,"-62,953056","-48,921246","-14,031813","5,34603",,2hoj_LIGfilip-balloon_mol39,"-46,079559","-35,834724","-10,244833","-10,244833",,"16,873497","1,367","13,086522","1,366","3,78698","1,37","4,898803","0,522"
2hoj_LIGfilip-balloon_mol40,"-3,073879","-50,890236","47,816357","6,153969",,2hoj_LIGfilip-balloon_mol40,"3,246387","-37,160633","40,407021","40,407021",,"0,172508","0,947","13,729603","1,37","7,409336","1,184","34,253052","0,153"
2hoj_LIGfilip-balloon_mol41,"4,074856","-37,410637","41,485493","3,031028",,2hoj_LIGfilip-balloon_mol41,"8,527115","-36,954025","45,48114","45,48114",,"4,452259","0,478","0,456612","1,013","3,995647","0,913","42,450112","0,067"
2hoj_LIGfilip-balloon_mol42,"-6,012802","-43,610882","37,59808","5,761755",,2hoj_LIGfilip-balloon_mol42,"5,12463","-41,828644","46,953274","46,953274",,"0,888172","1,174","1,782238","1,043","9,355194","0,801","41,191519","0,123"
2hoj_LIGfilip-balloon_mol43,"-26,775248","-43,576614","16,801367","14,81788",,2hoj_LIGfilip-balloon_mol43,"-20,706078","-34,927032","14,220954","14,220954",,"6,06917","1,294","8,649582","1,248","2,580413","1,182","0,596926","1,042"
2hoj_LIGfilip-balloon_mol44,"-28,941225","-47,490509","18,549284","9,561209",,2hoj_LIGfilip-balloon_mol44,"-24,751064","-42,319324","17,56826","17,56826",,"4,190161","1,17","5,171185","1,123","0,981024","1,056","8,007051","0,545"
2hoj_LIGfilip-balloon_mol45,"-25,043169","-41,129517","16,086348","2,090648",,2hoj_LIGfilip-balloon_mol45,"-19,040302","-37,92749","18,887188","18,887188",,"6,002867","1,316","3,202027","1,085","2,80084","0,852","16,79654","0,111"
2hoj_LIGfilip-balloon_mol46,"-22,999222","-40,655327","17,656105","6,34771",,2hoj_LIGfilip-balloon_mol46,"-19,913162","-38,222912","18,30975","18,30975",,"3,08606","1,155","2,432415","1,064","0,653645","0,965","11,96204","0,347"
2hoj_LIGfilip-balloon_mol47,"-32,246696","-39,326675","7,079977","4,340336",,2hoj_LIGfilip-balloon_mol47,"-22,882076","-36,440624","13,558549","13,558549",,"9,36462","1,41","2,886051","1,08","6,478572","0,523","9,218213","0,321"
