	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol1	13.129826	-32.803589	45.933414	7.800107
2hoj_LIGfilip-balloon_mol2	-16.736343	-22.815844	6.079501	7.666150
2hoj_LIGfilip-balloon_mol3	-35.646160	-32.003605	-3.642554	5.042083
2hoj_LIGfilip-balloon_mol4	-73.600777	-43.607567	-29.993208	7.238338
2hoj_LIGfilip-balloon_mol5	-39.145828	-47.989109	8.843281	4.016538
2hoj_LIGfilip-balloon_mol6	-5.565868	-34.211246	28.645378	7.920684
2hoj_LIGfilip-balloon_mol7	1.542580	-40.825687	42.368267	6.201224
2hoj_LIGfilip-balloon_mol8	-3.467175	-42.804386	39.337212	7.557636
2hoj_LIGfilip-balloon_mol9	-22.941225	-39.018333	16.077108	3.715740
2hoj_LIGfilip-balloon_mol10	1.288948	-40.959526	42.248474	12.133056
2hoj_LIGfilip-balloon_mol11	-2.327705	-43.631771	41.304066	8.018926
2hoj_LIGfilip-balloon_mol12	-29.339083	-49.916073	20.576990	5.864651
2hoj_LIGfilip-balloon_mol13	-28.016840	-46.615536	18.598696	6.019784
2hoj_LIGfilip-balloon_mol14	-26.827326	-45.272633	18.445307	9.218393
2hoj_LIGfilip-balloon_mol15	-62.852791	-40.933613	-21.919176	10.137904
2hoj_LIGfilip-balloon_mol16	-27.229689	-43.609482	16.379793	12.254445
2hoj_LIGfilip-balloon_mol17	-61.629978	-38.218849	-23.411129	6.088279
2hoj_LIGfilip-balloon_mol18	-31.578953	-35.893894	4.314942	4.761374
2hoj_LIGfilip-balloon_mol19	1.551376	-42.384773	43.936150	6.334459
2hoj_LIGfilip-balloon_mol20	-2.263191	-44.405609	42.142418	5.397007
2hoj_LIGfilip-balloon_mol21	-57.481491	-43.003307	-14.478184	11.598660
2hoj_LIGfilip-balloon_mol22	-26.855797	-45.729504	18.873707	13.268134
2hoj_LIGfilip-balloon_mol23	-24.880131	-45.408001	20.527870	5.808087
2hoj_LIGfilip-balloon_mol24	-44.420868	-43.355652	-1.065214	8.813435
2hoj_LIGfilip-balloon_mol25	-59.819557	-43.208839	-16.610720	7.935467
2hoj_LIGfilip-balloon_mol26	-23.676579	-43.503731	19.827152	9.362864
2hoj_LIGfilip-balloon_mol27	-20.190086	-44.268158	24.078072	6.210591
2hoj_LIGfilip-balloon_mol28	-0.480652	-40.294518	39.813866	6.164252
2hoj_LIGfilip-balloon_mol29	-1.575523	-42.190208	40.614685	11.351664
2hoj_LIGfilip-balloon_mol30	-22.375151	-37.079430	14.704279	3.502361
2hoj_LIGfilip-balloon_mol31	-2.017899	-44.536724	42.518826	13.700746
2hoj_LIGfilip-balloon_mol32	-2.092871	-33.877934	31.785063	9.477601
2hoj_LIGfilip-balloon_mol33	-22.907982	-40.109219	17.201237	4.051415
2hoj_LIGfilip-balloon_mol34	-24.615252	-42.658497	18.043245	6.398767
2hoj_LIGfilip-balloon_mol35	-24.502979	-43.034538	18.531559	5.357749
2hoj_LIGfilip-balloon_mol36	-6.189629	-49.164158	42.974529	12.595657
