	Grid_Score	Grid_vdw	Grid_es	Int_energy
RNAewa_LIGfilip-balloon_mol0001	-49.039890	-46.811596	-2.228295	6.724751
RNAewa_LIGfilip-balloon_mol0002	-51.773987	-47.531353	-4.242634	12.051947
RNAewa_LIGfilip-balloon_mol0003	-46.917686	-44.222034	-2.695654	6.754154
RNAewa_LIGfilip-balloon_mol0004	-44.364456	-42.867210	-1.497246	6.497088
RNAewa_LIGfilip-balloon_mol0005	-52.587486	-49.055836	-3.531650	4.222894
RNAewa_LIGfilip-balloon_mol0006	-48.768612	-44.797825	-3.970788	5.722471
RNAewa_LIGfilip-balloon_mol0007	-50.191696	-47.471230	-2.720465	4.946508
RNAewa_LIGfilip-balloon_mol0008	-48.552906	-47.193817	-1.359088	5.379544
RNAewa_LIGfilip-balloon_mol0009	-48.543362	-47.689777	-0.853584	8.302205
RNAewa_LIGfilip-balloon_mol0010	-46.509060	-44.371326	-2.137733	7.509890
RNAewa_LIGfilip-balloon_mol0011	-48.930920	-46.048634	-2.882288	5.657866
RNAewa_LIGfilip-balloon_mol0012	-51.487720	-49.301079	-2.186643	7.572726
RNAewa_LIGfilip-balloon_mol0013	-48.541412	-46.319183	-2.222231	4.183615
RNAewa_LIGfilip-balloon_mol0014	-46.527161	-43.117802	-3.409358	8.081382
RNAewa_LIGfilip-balloon_mol0015	-48.350697	-46.773270	-1.577429	9.261922
RNAewa_LIGfilip-balloon_mol0016	-50.257656	-50.032734	-0.224923	9.223540
RNAewa_LIGfilip-balloon_mol0017	-45.475857	-43.422882	-2.052974	11.416037
RNAewa_LIGfilip-balloon_mol0018	-45.446602	-42.387138	-3.059464	8.949693
RNAewa_LIGfilip-balloon_mol0019	-44.978519	-41.086021	-3.892498	7.284922
RNAewa_LIGfilip-balloon_mol0020	-51.183594	-48.369717	-2.813876	6.073539
RNAewa_LIGfilip-balloon_mol0021	-47.912872	-44.233456	-3.679416	9.913310
RNAewa_LIGfilip-balloon_mol0022	-46.322689	-43.411503	-2.911187	8.276807
RNAewa_LIGfilip-balloon_mol0023	-50.339077	-49.201420	-1.137656	6.984399
RNAewa_LIGfilip-balloon_mol0024	-45.642445	-45.677273	0.034828	4.556121
RNAewa_LIGfilip-balloon_mol0025	-48.375366	-44.083076	-4.292288	6.615541
RNAewa_LIGfilip-balloon_mol0026	-46.447399	-43.740822	-2.706579	11.236886
RNAewa_LIGfilip-balloon_mol0027	-51.732655	-50.639492	-1.093161	7.336733
RNAewa_LIGfilip-balloon_mol0028	-46.502991	-43.983891	-2.519099	12.564607
RNAewa_LIGfilip-balloon_mol0029	-47.903446	-46.030968	-1.872478	14.653604
