	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol1	16.538258	-21.637772	38.176029	38.176029
2hoj_LIGfilip-balloon_mol2	-9.234512	-21.448442	12.213930	12.213930
2hoj_LIGfilip-balloon_mol3	-21.065392	-23.170061	2.104670	2.104670
2hoj_LIGfilip-balloon_mol4	-67.023712	-34.365574	-32.658142	-32.658142
2hoj_LIGfilip-balloon_mol5	-26.317316	-34.915112	8.597795	8.597795
2hoj_LIGfilip-balloon_mol6	1.852665	-23.885668	25.738333	25.738333
2hoj_LIGfilip-balloon_mol7	7.319805	-25.276985	32.596790	32.596790
2hoj_LIGfilip-balloon_mol8	4.137875	-36.575260	40.713135	40.713135
2hoj_LIGfilip-balloon_mol9	-17.805614	-39.979916	22.174301	22.174301
2hoj_LIGfilip-balloon_mol10	6.838303	-37.485912	44.324215	44.324215
2hoj_LIGfilip-balloon_mol11	3.196079	-41.871445	45.067524	45.067524
2hoj_LIGfilip-balloon_mol12	-19.122868	-41.986095	22.863228	22.863228
2hoj_LIGfilip-balloon_mol13	-19.294910	-38.166977	18.872066	18.872066
2hoj_LIGfilip-balloon_mol14	-20.239576	-38.199261	17.959684	17.959684
2hoj_LIGfilip-balloon_mol15	-48.573246	-37.772697	-10.800550	-10.800550
2hoj_LIGfilip-balloon_mol16	-20.463024	-41.119312	20.656288	20.656288
2hoj_LIGfilip-balloon_mol17	-51.512894	-33.885845	-17.627047	-17.627047
2hoj_LIGfilip-balloon_mol18	-22.585339	-38.536987	15.951650	15.951650
2hoj_LIGfilip-balloon_mol19	9.007301	-36.952393	45.959694	45.959694
2hoj_LIGfilip-balloon_mol20	2.725826	-34.314415	37.040241	37.040241
2hoj_LIGfilip-balloon_mol21	-49.976395	-38.566528	-11.409866	-11.409866
2hoj_LIGfilip-balloon_mol22	-14.662186	-38.064106	23.401920	23.401920
2hoj_LIGfilip-balloon_mol23	-13.673862	-37.098434	23.424572	23.424572
2hoj_LIGfilip-balloon_mol24	-37.040276	-36.146633	-0.893642	-0.893642
2hoj_LIGfilip-balloon_mol25	-51.289387	-44.273045	-7.016343	-7.016343
2hoj_LIGfilip-balloon_mol26	-19.669580	-38.348652	18.679071	18.679071
2hoj_LIGfilip-balloon_mol27	-17.777222	-40.074722	22.297501	22.297501
2hoj_LIGfilip-balloon_mol28	5.912872	-41.213036	47.125908	47.125908
2hoj_LIGfilip-balloon_mol29	8.152565	-35.226131	43.378696	43.378696
2hoj_LIGfilip-balloon_mol30	-17.333107	-31.576874	14.243768	14.243768
2hoj_LIGfilip-balloon_mol31	3.601673	-44.142246	47.743919	47.743919
2hoj_LIGfilip-balloon_mol32	5.187653	-29.366028	34.553680	34.553680
2hoj_LIGfilip-balloon_mol33	-17.412121	-38.624641	21.212521	21.212521
2hoj_LIGfilip-balloon_mol34	-19.880821	-40.103374	20.222553	20.222553
2hoj_LIGfilip-balloon_mol35	-24.160870	-39.439499	15.278628	15.278628
2hoj_LIGfilip-balloon_mol36	5.170399	-42.308437	47.478836	47.478836
2hoj_LIGfilip-balloon_mol37	-47.416359	-34.270374	-13.145987	-13.145987
2hoj_LIGfilip-balloon_mol38	-24.086769	-41.171413	17.084644	17.084644
2hoj_LIGfilip-balloon_mol39	-46.079559	-35.834724	-10.244833	-10.244833
2hoj_LIGfilip-balloon_mol40	3.246387	-37.160633	40.407021	40.407021
2hoj_LIGfilip-balloon_mol41	8.527115	-36.954025	45.481140	45.481140
2hoj_LIGfilip-balloon_mol42	5.124630	-41.828644	46.953274	46.953274
2hoj_LIGfilip-balloon_mol43	-20.706078	-34.927032	14.220954	14.220954
2hoj_LIGfilip-balloon_mol44	-24.751064	-42.319324	17.568260	17.568260
2hoj_LIGfilip-balloon_mol45	-19.040302	-37.927490	18.887188	18.887188
2hoj_LIGfilip-balloon_mol46	-19.913162	-38.222912	18.309750	18.309750
2hoj_LIGfilip-balloon_mol47	-22.882076	-36.440624	13.558549	13.558549
2hoj_LIGfilip-balloon_mol48	-22.308620	-38.194874	15.886252	15.886252
2hoj_LIGfilip-balloon_mol49	-40.952641	-38.971821	-1.980820	-1.980820
2hoj_LIGfilip-balloon_mol50	-40.701443	-38.281960	-2.419483	-2.419483
2hoj_LIGfilip-balloon_mol51	-13.999792	-37.735909	23.736116	23.736116
2hoj_LIGfilip-balloon_mol52	-24.363716	-49.212097	24.848381	24.848381
2hoj_LIGfilip-balloon_mol53	-67.334290	-37.076847	-30.257444	-30.257444
2hoj_LIGfilip-balloon_mol54	-13.632933	-36.839321	23.206388	23.206388
2hoj_LIGfilip-balloon_mol55	-15.163086	-31.439100	16.276014	16.276014
2hoj_LIGfilip-balloon_mol56	-23.521832	-35.827759	12.305926	12.305926
2hoj_LIGfilip-balloon_mol57	-20.228889	-44.350113	24.121223	24.121223
2hoj_LIGfilip-balloon_mol58	-16.293856	-34.127670	17.833815	17.833815
2hoj_LIGfilip-balloon_mol59	-16.766897	-33.439583	16.672686	16.672686
2hoj_LIGfilip-balloon_mol60	5.466473	-41.492508	46.958981	46.958981
2hoj_LIGfilip-balloon_mol61	11.562489	-37.763870	49.326359	49.326359
2hoj_LIGfilip-balloon_mol62	-20.436441	-31.898699	11.462257	11.462257
2hoj_LIGfilip-balloon_mol63	8.120132	-43.340317	51.460449	51.460449
2hoj_LIGfilip-balloon_mol64	-24.403099	-43.552761	19.149662	19.149662
2hoj_LIGfilip-balloon_mol65	-12.903343	-34.097385	21.194042	21.194042
2hoj_LIGfilip-balloon_mol66	-1.040363	-39.012196	37.971832	37.971832
2hoj_LIGfilip-balloon_mol67	-17.158371	-37.782745	20.624374	20.624374
2hoj_LIGfilip-balloon_mol68	-23.605669	-39.279514	15.673845	15.673845
