	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-openbabel_mol1	16.315367	-19.305887	35.621254	35.621254
2hoj_LIGfilip-openbabel_mol2	-15.951227	-33.560379	17.609152	17.609152
2hoj_LIGfilip-openbabel_mol3	-27.593855	-26.507669	-1.086185	-1.086185
2hoj_LIGfilip-openbabel_mol4	-63.999588	-34.946224	-29.053364	-29.053364
2hoj_LIGfilip-openbabel_mol5	-26.208061	-22.287344	-3.920717	-3.920717
2hoj_LIGfilip-openbabel_mol6	1.102211	-19.097446	20.199657	20.199657
2hoj_LIGfilip-openbabel_mol7	9.024605	-38.072060	47.096664	47.096664
2hoj_LIGfilip-openbabel_mol8	3.804756	-32.140339	35.945095	35.945095
2hoj_LIGfilip-openbabel_mol9	-19.622334	-37.818974	18.196640	18.196640
2hoj_LIGfilip-openbabel_mol10	10.075195	-39.167671	49.242867	49.242867
2hoj_LIGfilip-openbabel_mol11	2.128891	-38.549694	40.678585	40.678585
2hoj_LIGfilip-openbabel_mol12	-25.408957	-46.184681	20.775724	20.775724
2hoj_LIGfilip-openbabel_mol13	-18.703911	-35.608105	16.904194	16.904194
2hoj_LIGfilip-openbabel_mol14	-15.914379	-36.436188	20.521809	20.521809
2hoj_LIGfilip-openbabel_mol15	-47.953297	-41.926155	-6.027143	-6.027143
2hoj_LIGfilip-openbabel_mol16	-19.352125	-39.085571	19.733446	19.733446
2hoj_LIGfilip-openbabel_mol17	-51.051414	-34.889992	-16.161423	-16.161423
2hoj_LIGfilip-openbabel_mol18	-22.471197	-37.538162	15.066965	15.066965
2hoj_LIGfilip-openbabel_mol19	7.546963	-37.638275	45.185238	45.185238
2hoj_LIGfilip-openbabel_mol20	4.463390	-44.158745	48.622135	48.622135
2hoj_LIGfilip-openbabel_mol21	-52.169754	-39.325157	-12.844598	-12.844598
2hoj_LIGfilip-openbabel_mol22	-17.466135	-36.499756	19.033621	19.033621
2hoj_LIGfilip-openbabel_mol23	-17.700232	-40.413895	22.713663	22.713663
2hoj_LIGfilip-openbabel_mol24	-37.432938	-37.723495	0.290559	0.290559
2hoj_LIGfilip-openbabel_mol25	-45.617878	-37.832302	-7.785575	-7.785575
2hoj_LIGfilip-openbabel_mol26	-22.215540	-42.083832	19.868292	19.868292
2hoj_LIGfilip-openbabel_mol27	-15.283157	-38.510372	23.227215	23.227215
2hoj_LIGfilip-openbabel_mol28	1.400658	-39.249027	40.649685	40.649685
2hoj_LIGfilip-openbabel_mol29	6.564003	-34.009369	40.573372	40.573372
2hoj_LIGfilip-openbabel_mol30	-17.358280	-38.979019	21.620739	21.620739
2hoj_LIGfilip-openbabel_mol31	9.118618	-37.859367	46.977985	46.977985
2hoj_LIGfilip-openbabel_mol32	2.363800	-38.735184	41.098984	41.098984
2hoj_LIGfilip-openbabel_mol33	-22.180067	-41.205231	19.025164	19.025164
2hoj_LIGfilip-openbabel_mol34	-22.120796	-39.420296	17.299500	17.299500
2hoj_LIGfilip-openbabel_mol35	-21.544405	-37.386459	15.842054	15.842054
2hoj_LIGfilip-openbabel_mol36	3.957291	-44.610714	48.568005	48.568005
2hoj_LIGfilip-openbabel_mol37	-50.642464	-34.971638	-15.670827	-15.670827
2hoj_LIGfilip-openbabel_mol38	-18.613472	-40.665127	22.051655	22.051655
2hoj_LIGfilip-openbabel_mol39	-47.456402	-40.354752	-7.101649	-7.101649
2hoj_LIGfilip-openbabel_mol40	6.205616	-40.822792	47.028408	47.028408
2hoj_LIGfilip-openbabel_mol41	9.512215	-30.104935	39.617149	39.617149
2hoj_LIGfilip-openbabel_mol42	1.933849	-39.961136	41.894985	41.894985
2hoj_LIGfilip-openbabel_mol43	-18.316048	-38.484051	20.168003	20.168003
2hoj_LIGfilip-openbabel_mol44	-22.997805	-40.944637	17.946833	17.946833
2hoj_LIGfilip-openbabel_mol45	-18.770744	-37.648270	18.877525	18.877525
2hoj_LIGfilip-openbabel_mol46	-18.150753	-40.916348	22.765594	22.765594
2hoj_LIGfilip-openbabel_mol47	-23.909157	-35.406807	11.497650	11.497650
2hoj_LIGfilip-openbabel_mol48	-21.507395	-38.777634	17.270239	17.270239
2hoj_LIGfilip-openbabel_mol49	-38.961052	-38.229980	-0.731071	-0.731071
2hoj_LIGfilip-openbabel_mol50	-39.929199	-35.478794	-4.450406	-4.450406
2hoj_LIGfilip-openbabel_mol51	-15.739897	-35.541069	19.801172	19.801172
2hoj_LIGfilip-openbabel_mol52	-22.403877	-44.934246	22.530369	22.530369
2hoj_LIGfilip-openbabel_mol53	-67.577393	-31.759058	-35.818333	-35.818333
2hoj_LIGfilip-openbabel_mol54	-14.862906	-35.813515	20.950609	20.950609
2hoj_LIGfilip-openbabel_mol55	-20.278276	-37.517475	17.239199	17.239199
2hoj_LIGfilip-openbabel_mol56	-21.466757	-32.893539	11.426783	11.426783
2hoj_LIGfilip-openbabel_mol57	-25.376688	-44.493515	19.116827	19.116827
2hoj_LIGfilip-openbabel_mol58	-15.010979	-35.378834	20.367855	20.367855
2hoj_LIGfilip-openbabel_mol59	-19.405186	-39.207634	19.802448	19.802448
2hoj_LIGfilip-openbabel_mol60	6.756779	-42.913197	49.669975	49.669975
2hoj_LIGfilip-openbabel_mol61	11.750631	-31.854025	43.604656	43.604656
2hoj_LIGfilip-openbabel_mol62	-17.840872	-29.131987	11.291115	11.291115
2hoj_LIGfilip-openbabel_mol63	2.612289	-44.525517	47.137806	47.137806
2hoj_LIGfilip-openbabel_mol64	-19.372549	-38.845467	19.472918	19.472918
2hoj_LIGfilip-openbabel_mol65	-15.052269	-29.898216	14.845947	14.845947
2hoj_LIGfilip-openbabel_mol66	-1.375061	-43.075027	41.699966	41.699966
2hoj_LIGfilip-openbabel_mol67	-18.611870	-37.028893	18.417023	18.417023
2hoj_LIGfilip-openbabel_mol68	-21.140913	-37.898540	16.757627	16.757627
2hoj_LIGfilip-openbabel_mol69	-17.988092	-35.941147	17.953054	17.953054
2hoj_LIGfilip-openbabel_mol70	-43.806068	-40.987926	-2.818143	-2.818143
2hoj_LIGfilip-openbabel_mol71	-41.717834	-35.615715	-6.102118	-6.102118
2hoj_LIGfilip-openbabel_mol72	-15.462217	-35.680466	20.218248	20.218248
2hoj_LIGfilip-openbabel_mol73	-42.781544	-40.835037	-1.946506	-1.946506
2hoj_LIGfilip-openbabel_mol74	-47.780151	-39.014374	-8.765778	-8.765778
2hoj_LIGfilip-openbabel_mol75	-71.663765	-38.246124	-33.417641	-33.417641
2hoj_LIGfilip-openbabel_mol76	-25.018051	-40.881191	15.863140	15.863140
2hoj_LIGfilip-openbabel_mol77	-15.910479	-33.784710	17.874231	17.874231
2hoj_LIGfilip-openbabel_mol78	-18.453043	-35.363331	16.910288	16.910288
2hoj_LIGfilip-openbabel_mol79	-18.217028	-32.021709	13.804682	13.804682
2hoj_LIGfilip-openbabel_mol80	3.342007	-33.985104	37.327110	37.327110
2hoj_LIGfilip-openbabel_mol81	-19.066349	-37.251949	18.185600	18.185600
2hoj_LIGfilip-openbabel_mol82	6.418255	-39.519276	45.937531	45.937531
2hoj_LIGfilip-openbabel_mol83	-20.671806	-46.754250	26.082443	26.082443
2hoj_LIGfilip-openbabel_mol84	-45.364723	-43.676697	-1.688026	-1.688026
2hoj_LIGfilip-openbabel_mol85	2.396820	-48.540146	50.936966	50.936966
2hoj_LIGfilip-openbabel_mol86	-20.061306	-42.315983	22.254677	22.254677
2hoj_LIGfilip-openbabel_mol87	7.278572	-27.895554	35.174126	35.174126
2hoj_LIGfilip-openbabel_mol88	-16.345610	-36.077316	19.731707	19.731707
2hoj_LIGfilip-openbabel_mol89	-18.087376	-37.796104	19.708729	19.708729
2hoj_LIGfilip-openbabel_mol90	-14.418339	-37.339104	22.920765	22.920765
2hoj_LIGfilip-openbabel_mol91	-26.393335	-26.579817	0.186482	0.186482
2hoj_LIGfilip-openbabel_mol92	-15.963474	-35.226910	19.263435	19.263435
2hoj_LIGfilip-openbabel_mol93	-17.537727	-39.251812	21.714085	21.714085
2hoj_LIGfilip-openbabel_mol94	-13.991079	-31.984200	17.993120	17.993120
2hoj_LIGfilip-openbabel_mol95	1.775101	-41.059391	42.834492	42.834492
2hoj_LIGfilip-openbabel_mol96	-17.570961	-42.759087	25.188126	25.188126
2hoj_LIGfilip-openbabel_mol97	-16.675117	-38.524929	21.849812	21.849812
2hoj_LIGfilip-openbabel_mol98	2.576714	-34.279716	36.856430	36.856430
2hoj_LIGfilip-openbabel_mol99	4.058044	-32.994305	37.052349	37.052349
2hoj_LIGfilip-openbabel_mol100	-17.912632	-38.887688	20.975056	20.975056
2hoj_LIGfilip-openbabel_mol101	-24.509604	-42.128189	17.618586	17.618586
2hoj_LIGfilip-openbabel_mol102	-26.015471	-45.678806	19.663336	19.663336
2hoj_LIGfilip-openbabel_mol103	10.478439	-36.646160	47.124599	47.124599
2hoj_LIGfilip-openbabel_mol104	-47.013233	-41.559868	-5.453364	-5.453364
2hoj_LIGfilip-openbabel_mol105	-49.665527	-34.593433	-15.072094	-15.072094
2hoj_LIGfilip-openbabel_mol106	-17.717102	-37.876064	20.158962	20.158962
2hoj_LIGfilip-openbabel_mol107	-44.646214	-37.918129	-6.728083	-6.728083
2hoj_LIGfilip-openbabel_mol108	6.390450	-42.458958	48.849407	48.849407
2hoj_LIGfilip-openbabel_mol109	-45.720444	-39.130287	-6.590158	-6.590158
2hoj_LIGfilip-openbabel_mol110	-10.943699	-30.921844	19.978146	19.978146
2hoj_LIGfilip-openbabel_mol111	10.145685	-31.782217	41.927902	41.927902
2hoj_LIGfilip-openbabel_mol112	10.850594	-37.891582	48.742176	48.742176
2hoj_LIGfilip-openbabel_mol113	-50.079895	-48.148861	-1.931034	-1.931034
2hoj_LIGfilip-openbabel_mol114	-12.214792	-32.013519	19.798727	19.798727
2hoj_LIGfilip-openbabel_mol115	-43.178143	-39.941814	-3.236327	-3.236327
2hoj_LIGfilip-openbabel_mol116	-69.007156	-32.644936	-36.362221	-36.362221
2hoj_LIGfilip-openbabel_mol117	-13.889805	-31.477844	17.588039	17.588039
2hoj_LIGfilip-openbabel_mol118	-70.172737	-33.170647	-37.002090	-37.002090
2hoj_LIGfilip-openbabel_mol119	-15.164419	-39.726223	24.561804	24.561804
2hoj_LIGfilip-openbabel_mol120	1.815582	-41.123528	42.939110	42.939110
2hoj_LIGfilip-openbabel_mol121	-45.877426	-38.894863	-6.982565	-6.982565
2hoj_LIGfilip-openbabel_mol122	4.921474	-44.316879	49.238354	49.238354
2hoj_LIGfilip-openbabel_mol123	5.726608	-40.093983	45.820591	45.820591
2hoj_LIGfilip-openbabel_mol124	-13.153913	-37.962574	24.808661	24.808661
2hoj_LIGfilip-openbabel_mol125	-49.598469	-34.414200	-15.184269	-15.184269
2hoj_LIGfilip-openbabel_mol126	4.170139	-45.222420	49.392559	49.392559
2hoj_LIGfilip-openbabel_mol127	-23.101593	-44.779564	21.677971	21.677971
2hoj_LIGfilip-openbabel_mol128	-14.363548	-35.312752	20.949203	20.949203
2hoj_LIGfilip-openbabel_mol129	10.143093	-32.902962	43.046055	43.046055
2hoj_LIGfilip-openbabel_mol130	-11.516506	-32.123981	20.607475	20.607475
2hoj_LIGfilip-openbabel_mol131	3.056049	-44.656075	47.712124	47.712124
2hoj_LIGfilip-openbabel_mol132	13.130003	-25.798323	38.928326	38.928326
2hoj_LIGfilip-openbabel_mol133	2.780798	-21.205601	23.986399	23.986399
2hoj_LIGfilip-openbabel_mol134	-8.365227	-48.106571	39.741344	39.741344
2hoj_LIGfilip-openbabel_mol135	10.230640	-44.318569	54.549210	54.549210
2hoj_LIGfilip-openbabel_mol136	-44.117832	-32.331776	-11.786057	-11.786057
2hoj_LIGfilip-openbabel_mol137	-44.474045	-32.659821	-11.814224	-11.814224
2hoj_LIGfilip-openbabel_mol138	1.165249	-42.594372	43.759621	43.759621
2hoj_LIGfilip-openbabel_mol139	-15.590706	-37.536552	21.945847	21.945847
2hoj_LIGfilip-openbabel_mol140	-1.877571	-44.116764	42.239193	42.239193
2hoj_LIGfilip-openbabel_mol141	-13.719336	-36.748249	23.028913	23.028913
2hoj_LIGfilip-openbabel_mol142	20.981174	-43.588406	64.569580	64.569580
2hoj_LIGfilip-openbabel_mol143	3.214108	-39.899197	43.113304	43.113304
2hoj_LIGfilip-openbabel_mol144	-43.235222	-31.227993	-12.007227	-12.007227
2hoj_LIGfilip-openbabel_mol145	8.113220	-30.654980	38.768200	38.768200
2hoj_LIGfilip-openbabel_mol146	-18.858463	-31.849161	12.990698	12.990698
2hoj_LIGfilip-openbabel_mol147	-11.155823	-34.414822	23.258999	23.258999
2hoj_LIGfilip-openbabel_mol148	3.177967	-34.267139	37.445107	37.445107
2hoj_LIGfilip-openbabel_mol149	-14.493776	-40.289730	25.795954	25.795954
2hoj_LIGfilip-openbabel_mol150	-16.455889	-32.980762	16.524874	16.524874
2hoj_LIGfilip-openbabel_mol151	-71.973831	-38.774502	-33.199326	-33.199326
2hoj_LIGfilip-openbabel_mol152	-12.415064	-34.127476	21.712412	21.712412
2hoj_LIGfilip-openbabel_mol153	8.569815	-27.806997	36.376812	36.376812
2hoj_LIGfilip-openbabel_mol154	-50.384808	-45.283447	-5.101362	-5.101362
2hoj_LIGfilip-openbabel_mol155	-19.471008	-38.516186	19.045177	19.045177
2hoj_LIGfilip-openbabel_mol156	2.812950	-47.353607	50.166557	50.166557
2hoj_LIGfilip-openbabel_mol157	-47.749256	-44.752327	-2.996929	-2.996929
2hoj_LIGfilip-openbabel_mol158	-16.625334	-33.564754	16.939421	16.939421
2hoj_LIGfilip-openbabel_mol159	-23.997286	-44.834858	20.837572	20.837572
2hoj_LIGfilip-openbabel_mol160	-16.460529	-35.836563	19.376034	19.376034
2hoj_LIGfilip-openbabel_mol161	6.895409	-37.248665	44.144073	44.144073
2hoj_LIGfilip-openbabel_mol162	-13.458580	-34.726479	21.267899	21.267899
2hoj_LIGfilip-openbabel_mol163	33.026665	-20.277119	53.303783	53.303783
2hoj_LIGfilip-openbabel_mol164	-20.259899	-40.844650	20.584751	20.584751
2hoj_LIGfilip-openbabel_mol165	-17.690617	-44.495197	26.804581	26.804581
2hoj_LIGfilip-openbabel_mol166	-18.928629	-43.136410	24.207781	24.207781
2hoj_LIGfilip-openbabel_mol167	-43.677078	-34.682598	-8.994478	-8.994478
2hoj_LIGfilip-openbabel_mol168	6.072498	-33.284500	39.356998	39.356998
2hoj_LIGfilip-openbabel_mol169	-13.453041	-35.290165	21.837124	21.837124
2hoj_LIGfilip-openbabel_mol170	10.235577	-36.679356	46.914932	46.914932
2hoj_LIGfilip-openbabel_mol171	-14.173611	-34.560825	20.387215	20.387215
2hoj_LIGfilip-openbabel_mol172	2.318420	-42.079815	44.398235	44.398235
2hoj_LIGfilip-openbabel_mol173	-22.729382	-44.549179	21.819798	21.819798
2hoj_LIGfilip-openbabel_mol174	12.245537	-32.314369	44.559906	44.559906
2hoj_LIGfilip-openbabel_mol175	-14.500252	-33.383682	18.883430	18.883430
2hoj_LIGfilip-openbabel_mol176	-20.800104	-46.367939	25.567835	25.567835
2hoj_LIGfilip-openbabel_mol177	-101.202171	-32.132393	-69.069778	-69.069778
2hoj_LIGfilip-openbabel_mol178	32.241520	-35.231342	67.472862	67.472862
2hoj_LIGfilip-openbabel_mol179	-102.553635	-38.033436	-64.520195	-64.520195
2hoj_LIGfilip-openbabel_mol180	-14.697701	-34.022617	19.324917	19.324917
2hoj_LIGfilip-openbabel_mol181	7.645443	-33.371593	41.017036	41.017036
2hoj_LIGfilip-openbabel_mol182	-98.246353	-31.689262	-66.557091	-66.557091
2hoj_LIGfilip-openbabel_mol183	-2.794056	-35.313358	32.519302	32.519302
2hoj_LIGfilip-openbabel_mol184	-45.868004	-44.625294	-1.242709	-1.242709
2hoj_LIGfilip-openbabel_mol185	-14.376186	-38.324993	23.948807	23.948807
2hoj_LIGfilip-openbabel_mol186	-14.224211	-38.611748	24.387537	24.387537
2hoj_LIGfilip-openbabel_mol187	-73.321854	-41.027405	-32.294449	-32.294449
2hoj_LIGfilip-openbabel_mol188	49.226604	-1.201872	50.428474	50.428474
2hoj_LIGfilip-openbabel_mol189	-13.065437	-32.956593	19.891155	19.891155
2hoj_LIGfilip-openbabel_mol190	10.270153	-37.617832	47.887985	47.887985
2hoj_LIGfilip-openbabel_mol191	-21.263725	-41.059731	19.796005	19.796005
2hoj_LIGfilip-openbabel_mol192	-15.350367	-34.829693	19.479326	19.479326
2hoj_LIGfilip-openbabel_mol193	6.269382	-20.795864	27.065247	27.065247
2hoj_LIGfilip-openbabel_mol194	-11.628706	-35.429352	23.800646	23.800646
2hoj_LIGfilip-openbabel_mol195	-68.715645	-29.565042	-39.150600	-39.150600
2hoj_LIGfilip-openbabel_mol196	-72.541939	-31.391897	-41.150043	-41.150043
2hoj_LIGfilip-openbabel_mol197	-45.680294	-33.368244	-12.312049	-12.312049
2hoj_LIGfilip-openbabel_mol198	-51.659924	-42.566513	-9.093411	-9.093411
