	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGrocs_with_names-2dock_mol1	22.306658	-6.210813	28.517471	28.517471
2hoj_LIGrocs_with_names-2dock_mol2	-11.566230	-24.931589	13.365359	13.365359
2hoj_LIGrocs_with_names-2dock_mol3	-26.771652	-23.461784	-3.309868	-3.309868
2hoj_LIGrocs_with_names-2dock_mol4	-63.771797	-35.158707	-28.613091	-28.613091
2hoj_LIGrocs_with_names-2dock_mol5	-27.520954	-41.011631	13.490677	13.490677
2hoj_LIGrocs_with_names-2dock_mol6	-3.919088	-31.111490	27.192402	27.192402
2hoj_LIGrocs_with_names-2dock_mol7	8.213982	-34.277351	42.491333	42.491333
2hoj_LIGrocs_with_names-2dock_mol8	3.956841	-36.436897	40.393738	40.393738
2hoj_LIGrocs_with_names-2dock_mol9	-19.101969	-36.610451	17.508482	17.508482
2hoj_LIGrocs_with_names-2dock_mol10	8.907124	-35.205269	44.112392	44.112392
2hoj_LIGrocs_with_names-2dock_mol11	6.234928	-38.952801	45.187729	45.187729
2hoj_LIGrocs_with_names-2dock_mol12	-18.119797	-34.511608	16.391811	16.391811
2hoj_LIGrocs_with_names-2dock_mol13	-23.991810	-43.430969	19.439159	19.439159
2hoj_LIGrocs_with_names-2dock_mol14	-20.409794	-38.705944	18.296150	18.296150
2hoj_LIGrocs_with_names-2dock_mol15	-48.442940	-31.242901	-17.200037	-17.200037
2hoj_LIGrocs_with_names-2dock_mol16	-21.954872	-37.851479	15.896605	15.896605
2hoj_LIGrocs_with_names-2dock_mol17	-45.073204	-29.724512	-15.348694	-15.348694
2hoj_LIGrocs_with_names-2dock_mol18	-23.815159	-34.194454	10.379294	10.379294
2hoj_LIGrocs_with_names-2dock_mol19	5.508198	-37.235767	42.743965	42.743965
2hoj_LIGrocs_with_names-2dock_mol20	4.234268	-42.134697	46.368965	46.368965
2hoj_LIGrocs_with_names-2dock_mol21	-51.021317	-38.480690	-12.540625	-12.540625
2hoj_LIGrocs_with_names-2dock_mol22	-20.986805	-37.980606	16.993801	16.993801
2hoj_LIGrocs_with_names-2dock_mol23	-15.039213	-34.879143	19.839930	19.839930
2hoj_LIGrocs_with_names-2dock_mol24	-36.404938	-36.458858	0.053923	0.053923
2hoj_LIGrocs_with_names-2dock_mol25	-48.553551	-36.568222	-11.985328	-11.985328
2hoj_LIGrocs_with_names-2dock_mol26	-20.305080	-40.139999	19.834919	19.834919
2hoj_LIGrocs_with_names-2dock_mol27	-17.770630	-41.728268	23.957638	23.957638
2hoj_LIGrocs_with_names-2dock_mol28	2.867538	-36.675644	39.543182	39.543182
2hoj_LIGrocs_with_names-2dock_mol29	2.099590	-37.980812	40.080402	40.080402
2hoj_LIGrocs_with_names-2dock_mol30	-19.427771	-37.514790	18.087019	18.087019
2hoj_LIGrocs_with_names-2dock_mol31	10.051186	-25.151787	35.202972	35.202972
2hoj_LIGrocs_with_names-2dock_mol32	8.027897	-33.966267	41.994164	41.994164
2hoj_LIGrocs_with_names-2dock_mol33	-17.019396	-34.436359	17.416964	17.416964
2hoj_LIGrocs_with_names-2dock_mol34	-18.943657	-40.939152	21.995495	21.995495
2hoj_LIGrocs_with_names-2dock_mol35	-22.137945	-41.091358	18.953413	18.953413
2hoj_LIGrocs_with_names-2dock_mol36	2.082588	-40.147938	42.230526	42.230526
2hoj_LIGrocs_with_names-2dock_mol37	-51.971027	-40.348312	-11.622715	-11.622715
2hoj_LIGrocs_with_names-2dock_mol38	-22.499725	-40.956512	18.456787	18.456787
2hoj_LIGrocs_with_names-2dock_mol39	-51.297588	-39.672855	-11.624734	-11.624734
2hoj_LIGrocs_with_names-2dock_mol40	0.286697	-45.008396	45.295094	45.295094
2hoj_LIGrocs_with_names-2dock_mol41	9.035782	-36.828533	45.864315	45.864315
2hoj_LIGrocs_with_names-2dock_mol42	4.910759	-42.325722	47.236481	47.236481
2hoj_LIGrocs_with_names-2dock_mol43	-18.660267	-37.252934	18.592667	18.592667
2hoj_LIGrocs_with_names-2dock_mol44	-22.200468	-39.696121	17.495653	17.495653
2hoj_LIGrocs_with_names-2dock_mol45	-17.647846	-38.771824	21.123978	21.123978
2hoj_LIGrocs_with_names-2dock_mol46	-21.565897	-41.813713	20.247816	20.247816
2hoj_LIGrocs_with_names-2dock_mol47	-24.260012	-36.084660	11.824648	11.824648
2hoj_LIGrocs_with_names-2dock_mol48	-23.570192	-46.455147	22.884954	22.884954
2hoj_LIGrocs_with_names-2dock_mol49	-40.995743	-39.688736	-1.307007	-1.307007
2hoj_LIGrocs_with_names-2dock_mol50	-40.780785	-39.281494	-1.499290	-1.499290
2hoj_LIGrocs_with_names-2dock_mol51	-16.016350	-37.205948	21.189598	21.189598
2hoj_LIGrocs_with_names-2dock_mol52	-22.474625	-39.900425	17.425800	17.425800
2hoj_LIGrocs_with_names-2dock_mol53	-68.668846	-31.005610	-37.663239	-37.663239
2hoj_LIGrocs_with_names-2dock_mol54	-15.738064	-36.139633	20.401569	20.401569
2hoj_LIGrocs_with_names-2dock_mol55	-17.737000	-39.019337	21.282337	21.282337
2hoj_LIGrocs_with_names-2dock_mol56	-20.530005	-34.686630	14.156626	14.156626
2hoj_LIGrocs_with_names-2dock_mol57	-26.422100	-44.185261	17.763161	17.763161
2hoj_LIGrocs_with_names-2dock_mol58	-17.067169	-36.355259	19.288090	19.288090
2hoj_LIGrocs_with_names-2dock_mol59	-18.578476	-32.551979	13.973503	13.973503
2hoj_LIGrocs_with_names-2dock_mol60	5.367558	-35.403580	40.771137	40.771137
2hoj_LIGrocs_with_names-2dock_mol61	10.070412	-37.869480	47.939892	47.939892
2hoj_LIGrocs_with_names-2dock_mol62	-14.535318	-27.231926	12.696608	12.696608
2hoj_LIGrocs_with_names-2dock_mol63	7.335255	-43.596706	50.931961	50.931961
2hoj_LIGrocs_with_names-2dock_mol64	-23.427309	-42.992039	19.564730	19.564730
2hoj_LIGrocs_with_names-2dock_mol65	-12.810720	-31.356909	18.546188	18.546188
2hoj_LIGrocs_with_names-2dock_mol66	2.225357	-48.914661	51.140018	51.140018
